Symbol,Security,GICS_Sector,GICS_Sub-Industry,Date_added,Founded
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998,1972
CARR,Carrier Global,Industrials,Building Products,2020,1915
CTLT,Catalent,Health Care,Pharmaceuticals,2020,2007
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,1957,1925
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2017,1973
CBRE,CBRE Group,Real Estate,Real Estate Services,2006,1906
CDW,CDW,Information Technology,Technology Distributors,2019,1984
CE,Celanese,Materials,Specialty Chemicals,2018,1918
CNC,Centene Corporation,Health Care,Managed Health Care,2016,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985,1882
CDAY,Ceridian,Information Technology,Application Software,2021,1992
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2008,1946
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,2021,1947
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1997,1971
CHTR,Charter Communications,Communication Services,Cable & Satellite,2016,1993
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1957,1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011,1993
CB,Chubb Limited,Financials,Property & Casualty Insurance,2010,1985
CHD,Church & Dwight,Consumer Staples,Household Products,2015,1847
CI,Cigna,Health Care,Managed Health Care,1976,1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1997,1950
CTAS,Cintas,Industrials,Diversified Support Services,2001,1929
CSCO,Cisco,Information Technology,Communications Equipment,1993,1984
C,Citigroup,Financials,Diversified Banks,1988,1998
CFG,Citizens Financial Group,Financials,Regional Banks,2016,1828
CLX,Clorox,Consumer Staples,Household Products,1969,1913
CME,CME Group,Financials,Financial Exchanges & Data,2006,1848
CMS,CMS Energy,Utilities,Multi-Utilities,1957,1886
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,1957,1886
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2006,1994
CL,Colgate-Palmolive,Consumer Staples,Household Products,1957,1806
CMCSA,Comcast,Communication Services,Cable & Satellite,2002,1963
CMA,Comerica,Financials,Diversified Banks,1995,1849
